0.500000	0.500000
0.499725	0.498993
0.498993	0.496063
0.497772	0.491180
0.496063	0.484344
0.493866	0.475616
0.491180	0.465027
0.488007	0.452606
0.484344	0.438416
0.480225	0.422485
0.475616	0.404907
0.470551	0.385742
0.465027	0.365051
0.459045	0.342957
0.452606	0.319489
0.445740	0.294769
0.438416	0.268890
0.430664	0.241943
0.422485	0.214050
0.413879	0.185333
0.404907	0.155884
0.395508	0.125824
0.385712	0.095245
0.375549	0.064301
0.365021	0.033142
0.354156	0.001801
0.342896	-0.029510
0.331329	-0.060730
0.319427	-0.091675
0.307220	-0.122284
0.294708	-0.152435
0.281891	-0.181946
0.268799	-0.210785
0.255463	-0.238770
0.241852	-0.265808
0.228027	-0.291809
0.213959	-0.316681
0.199707	-0.340271
0.185242	-0.362549
0.170593	-0.383423
0.155762	-0.402771
0.140808	-0.420532
0.125671	-0.436646
0.110443	-0.451050
0.095123	-0.463684
0.079681	-0.474487
0.064148	-0.483429
0.048584	-0.490479
0.032959	-0.495575
0.017303	-0.498749
0.001617	-0.499969
-0.014038	-0.499207
-0.029724	-0.496521
-0.045349	-0.491852
-0.060944	-0.485260
-0.076477	-0.476746
-0.091919	-0.466400
-0.107269	-0.454193
-0.122528	-0.440216
-0.137665	-0.424500
-0.152679	-0.407104
-0.167542	-0.388123
-0.182220	-0.367615
-0.196716	-0.345673
-0.211060	-0.322388
-0.225159	-0.297791
-0.239044	-0.272064
-0.252686	-0.245270
-0.266083	-0.217499
-0.279236	-0.188873
-0.292114	-0.159485
-0.304688	-0.129517
-0.316956	-0.098999
-0.328949	-0.068115
-0.340576	-0.036957
-0.351898	-0.005646
-0.362854	0.025665
-0.373474	0.056885
-0.383698	0.087891
-0.393555	0.118530
-0.403046	0.148743
-0.412140	0.178345
-0.420807	0.207245
-0.429047	0.235321
-0.436890	0.262482
-0.444305	0.288635
-0.451294	0.313629
-0.457794	0.337402
-0.463898	0.359863
-0.469513	0.380890
-0.474670	0.400421
-0.479370	0.418396
-0.483582	0.434723
-0.487335	0.449310
-0.490601	0.462189
-0.493378	0.473206
-0.495667	0.482391
-0.497498	0.489685
-0.498810	0.495056
-0.499634	0.498474
-0.499969	0.499939
-0.499817	0.499420
-0.499176	0.496979
-0.498047	0.492554
-0.496429	0.486206
-0.494293	0.477966
-0.491699	0.467834
-0.488617	0.455872
-0.485046	0.442108
-0.481018	0.426605
-0.476501	0.409454
-0.471497	0.390686
-0.466064	0.370361
-0.460144	0.348602
-0.453796	0.325470
-0.446991	0.301086
-0.439728	0.275482
-0.432037	0.248810
-0.423950	0.221161
-0.415436	0.192657
-0.406494	0.163391
-0.397156	0.133484
-0.387421	0.103058
-0.377319	0.072205
-0.366852	0.041077
-0.356018	0.009796
-0.344818	-0.021515
-0.333313	-0.052765
-0.321442	-0.083801
-0.309265	-0.114502
-0.296814	-0.144745
-0.284027	-0.174438
-0.270996	-0.203430
-0.257660	-0.231628
-0.244110	-0.258911
